Linux 6.8.0-52-generic (SnowBrain) 	07.03.2025 	_x86_64_	(4 CPU)

14.39.18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14.42.21     all   25,39    0,00    6,74    0,78    0,00    0,26    0,00    0,00    0,00   66,84
14.42.22     all   24,87    0,00    9,84    1,04    0,00    0,26    0,00    0,00    0,00   63,99
14.42.23     all   83,54    0,00    8,73    0,25    0,00    0,25    0,00    0,00    0,00    7,23
14.42.24     all   24,49    0,00   11,22    0,77    0,00    0,51    0,00    0,00    0,00   63,01
14.42.25     all   20,31    0,00    6,17    1,29    0,00    0,26    0,00    0,00    0,00   71,98
14.42.26     all   48,21    0,00   16,67    0,77    0,00    0,26    0,00    0,00    0,00   34,10
14.42.27     all   30,33    0,00   10,54    0,77    0,00    0,51    0,00    0,00    0,00   57,84
14.42.28     all   41,90    0,00   11,57    0,26    0,00    0,00    0,00    0,00    0,00   46,27
14.42.29     all   73,37    0,00   20,60    0,00    0,00    0,50    0,00    0,00    0,00    5,53
14.42.30     all   73,68    0,00   20,30    0,25    0,00    0,75    0,00    0,00    0,00    5,01
14.42.31     all   66,50    0,00   19,14    0,25    0,00    0,25    0,00    0,00    0,00   13,85
14.42.32     all   41,04    0,00   10,65    0,52    0,00    0,26    0,00    0,00    0,00   47,53
14.42.33     all   29,67    0,00   12,53    1,02    0,00    0,26    0,00    0,00    0,00   56,52
14.42.34     all   30,69    0,00    8,44    0,77    0,00    0,51    0,00    0,00    0,00   59,59
14.42.35     all   23,85    0,00   14,10    0,77    0,00    0,51    0,00    0,00    0,00   60,77
14.42.36     all   36,76    0,00    9,51    0,77    0,00    0,26    0,00    0,00    0,00   52,70
14.42.37     all   32,14    0,00   10,20    0,26    0,00    0,26    0,00    0,00    0,00   57,14
14.42.38     all   54,71    0,00   20,61    0,51    0,00    0,25    0,00    0,00    0,00   23,92
14.42.39     all   58,12    0,00   18,27    0,76    0,00    0,25    0,00    0,00    0,00   22,59
14.42.40     all   34,81    0,00   15,84    0,78    0,00    0,26    0,00    0,00    0,00   48,31
14.42.41     all   85,46    0,00   12,28    0,00    0,00    0,25    0,00    0,00    0,00    2,01
14.42.42     all   59,40    0,00   16,54    0,50    0,00    0,50    0,00    0,00    0,00   23,06
14.42.43     all   46,67    0,00   23,08    0,26    0,00    0,51    0,00    0,00    0,00   29,49
14.42.44     all   50,12    0,00   22,19    0,50    0,00    0,50    0,00    0,00    0,00   26,68
14.42.45     all   48,22    0,00   14,97    0,76    0,00    0,00    0,00    0,00    0,00   36,04
14.42.46     all   68,17    0,00   24,06    0,00    0,00    0,00    0,00    0,00    0,00    7,77
14.42.47     all   62,09    0,00   29,18    0,00    0,00    0,25    0,00    0,00    0,00    8,48
14.42.48     all   63,29    0,00   16,96    0,00    0,00    0,25    0,00    0,00    0,00   19,49
14.42.49     all   66,67    0,00   19,70    0,00    0,00    0,00    0,00    0,00    0,00   13,64
14.42.50     all   69,00    0,00   20,50    0,25    0,00    0,25    0,00    0,00    0,00   10,00
14.42.51     all   67,34    0,00   20,25    0,51    0,00    0,00    0,00    0,00    0,00   11,90
14.42.52     all   77,83    0,00    8,82    0,00    0,00    0,25    0,00    0,00    0,00   13,10
14.42.53     all   76,63    0,00   11,06    0,00    0,00    0,25    0,00    0,00    0,00   12,06
14.42.54     all   63,17    0,00    9,72    0,77    0,00    0,00    0,00    0,00    0,00   26,34
14.42.55     all   44,58    0,00   11,34    0,50    0,00    0,25    0,00    0,00    0,00   43,32
14.42.56     all   47,57    0,00    9,21    0,51    0,00    0,26    0,00    0,00    0,00   42,46
14.42.57     all   43,48    0,00    6,91    0,51    0,00    0,00    0,00    0,00    0,00   49,10
14.42.58     all   46,29    0,00   10,23    0,00    0,00    0,26    0,00    0,00    0,00   43,22
14.42.59     all   43,85    0,00    6,41    0,51    0,00    0,00    0,00    0,00    0,00   49,23
14.43.00     all   44,44    0,00    8,59    1,01    0,00    0,25    0,00    0,00    0,00   45,71
14.43.01     all   43,44    0,00    6,43    0,51    0,00    0,00    0,00    0,00    0,00   49,61
14.43.02     all   44,16    0,00    8,12    0,76    0,00    0,51    0,00    0,00    0,00   46,45
14.43.03     all   87,66    0,00    7,56    0,25    0,00    0,00    0,00    0,00    0,00    4,53
14.43.04     all   45,43    0,00    9,39    1,02    0,00    0,76    0,00    0,00    0,00   43,40
14.43.05     all   57,36    0,00   13,71    0,51    0,00    0,25    0,00    0,00    0,00   28,17
14.43.06     all   44,27    0,00    9,41    0,76    0,00    0,00    0,00    0,00    0,00   45,55
14.43.07     all   45,82    0,00    6,84    1,01    0,00    0,25    0,00    0,00    0,00   46,08
14.43.08     all   44,02    0,00    9,41    0,76    0,00    0,00    0,00    0,00    0,00   45,80
14.43.09     all   45,52    0,00    6,65    0,51    0,00    0,26    0,00    0,00    0,00   47,06
14.43.10     all   44,42    0,00    5,58    0,51    0,00    0,25    0,00    0,00    0,00   49,24
14.43.11     all   34,44    0,00   14,80    0,77    0,00    0,26    0,00    0,00    0,00   49,74
